Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,7.900000095367432,7.966667175292969,7.883333206176758,7.909999847412109,6.632673740386963,2635200
2011-01-03,7.99666690826416,8.096667289733887,7.983333110809326,8.036666870117188,6.738885402679443,4074300
2011-01-04,8.036666870117188,8.096667289733887,7.956666946411133,7.97333288192749,6.685780048370361,5881500
2011-01-05,7.956666946411133,7.980000019073486,7.883333206176758,7.883333206176758,6.610313892364502,6645000
2011-01-06,7.873332977294922,7.909999847412109,7.789999961853027,7.849999904632568,6.582361698150635,5878800
2011-01-07,7.8933329582214355,7.906667232513428,7.75,7.793333053588867,6.534846782684326,5319600
2011-01-10,7.743332862854004,7.853332996368408,7.696667194366455,7.820000171661377,6.557206630706787,4503900
2011-01-11,7.876667022705078,7.933332920074463,7.849999904632568,7.923333168029785,6.643853664398193,6201300
2011-01-12,7.9766669273376465,8.016667366027832,7.936666965484619,7.986667156219482,6.69696044921875,6017100
2011-01-13,7.853332996368408,8.069999694824219,7.853332996368408,8.036666870117188,6.738885402679443,5631300
2011-01-14,8.016667366027832,8.123332977294922,7.989999771118164,8.123332977294922,6.811557769775391,4324800
2011-01-18,8.143333435058594,8.170000076293945,8.076666831970215,8.133333206176758,6.81994104385376,4491300
2011-01-19,8.149999618530273,8.173333168029785,7.920000076293945,7.926667213439941,6.646650314331055,5185800
2011-01-20,7.936666965484619,8.036666870117188,7.883333206176758,8.00333309173584,6.710935592651367,5531400
2011-01-21,8.039999961853027,8.166666984558105,8.023332595825195,8.100000381469727,6.7919921875,4938600
2011-01-24,8.113332748413086,8.223333358764648,8.069999694824219,8.186667442321777,6.864665985107422,4444200
2011-01-25,8.19333267211914,8.203332901000977,8.016667366027832,8.100000381469727,6.7919921875,6272400
2011-01-26,8.113332748413086,8.196666717529297,8.069999694824219,8.170000076293945,6.850687503814697,7423200
2011-01-27,8.203332901000977,8.40999984741211,8.166666984558105,8.403332710266113,7.0463409423828125,6534000
2011-01-28,8.380000114440918,8.403332710266113,8.106666564941406,8.166666984558105,6.847894668579102,6569400
2011-01-31,8.176667213439941,8.223333358764648,8.100000381469727,8.15999984741211,6.8423027992248535,10036800
2011-02-01,8.210000038146973,8.526666641235352,8.199999809265137,8.44333267211914,7.079880714416504,8614800
2011-02-02,8.313332557678223,8.84000015258789,8.313332557678223,8.83666706085205,7.409702777862549,13236000
2011-02-03,8.850000381469727,8.916666984558105,8.680000305175781,8.713333129882812,7.306285381317139,8921700
2011-02-04,8.716667175292969,8.903332710266113,8.706666946411133,8.853333473205566,7.423676013946533,5689800
2011-02-07,8.850000381469727,8.970000267028809,8.776666641235352,8.926667213439941,7.485165119171143,6432000
2011-02-08,8.633333206176758,8.706666946411133,8.58666706085205,8.613332748413086,7.2224297523498535,25701600
